.,,,,,,,,,,,,,,boor,rude
,,,,,,,,,,,,,,brusque,rude
,,,,,,,,,,,,,,curt,rude
,,,,,,,,,,,,,,terse,rude
,,,,,,,,,,,,,,articulate,clear
,,,,,,,,,,,,,,coherent,clear
,,,,,,,,,,,,,,eloquent,clear
,,,,,,,,,,,,,,enunciate,clear
,,,,,,,,,,,,,,glid,smoothtalker
,,,,,,,,,,,,,,inefabble,cannotbeexpressed
,,,,,,,,,,,,,,labored,difficult
,,,,,,,,,,,,,,adjurn,delay
,,,,,,,,,,,,,,defer,delay
,,,,,,,,,,,,,,protract,delay
,,,,,,,,,,,,,,procrastinate,delay
,,,,,,,,,,,,,,apprentice,beginner
,,,,,,,,,,,,,,dilettante,beginner
,,,,,,,,,,,,,,novel,beginner
,,,,,,,,,,,,,,novice,beginner
,,,,,,,,,,,,,,rookie,beginner
,,,,,,,,,,,,,,callow,immature
,,,,,,,,,,,,,,puerile,immature
,,,,,,,,,,,,,,subordinate,workingunderanother
,,,,,,,,,,,,,,underling,workingunderanother
,,,,,,,,,,,,,,mendacity,falsehood
,,,,,,,,,,,,,,perjury,falsehood
,,,,,,,,,,,,,,prevarication,falsehood
,,,,,,,,,,,,,,veracity,truth
,,,,,,,,,,,,,,reprisal,counterattack
,,,,,,,,,,,,,,retaliate,counterattack
,,,,,,,,,,,,,,absurd,illogical
,,,,,,,,,,,,,,atypical,illogical
,,,,,,,,,,,,,,bizzare,illogical
,,,,,,,,,,,,,,ludicrous,illogical
,,,,,,,,,,,,,,outlandish,illogical
,,,,,,,,,,,,,,preposterous,illogical
,,,,,,,,,,,,,,uncanny,illogical
,,,,,,,,,,,,,,bleak,gloomy
,,,,,,,,,,,,,,somber,gloomy
,,,,,,,,,,,,,,arresting,attract
,,,,,,,,,,,,,,captivate,attract
,,,,,,,,,,,,,,delectable,attract
,,,,,,,,,,,,,,enamored,attract
,,,,,,,,,,,,,,enthrall,attract
,,,,,,,,,,,,,,infatuate,attract
,,,,,,,,,,,,,,mesmerize,attract
,,,,,,,,,,,,,,rapture,attract
,,,,,,,,,,,,,,spellbinding,attract
,,,,,,,,,,,,,,ennui,boring-
,,,,,,,,,,,,,,epidemic,widespread-
,,,,,,,,,,,,,,pandemic,widespread-
,,,,,,,,,,,,,,rampant,widespread-
,,,,,,,,,,,,,,rife,widespread-
,,,,,,,,,,,,,,endemic,limited
,,,,,,,,,,,,,,audacious,brave
,,,,,,,,,,,,,,chivalry,brave
,,,,,,,,,,,,,,dauntless,brave
,,,,,,,,,,,,,,gallant,brave
,,,,,,,,,,,,,,intrepid,brave
,,,,,,,,,,,,,,pluck,brave
,,,,,,,,,,,,,,undaunted,brave
,,,,,,,,,,,,,,valiant,brave
,,,,,,,,,,,,,,valor,brave
,,,,,,,,,,,,,,abash,embarrass
,,,,,,,,,,,,,,discomfit,embarrass
,,,,,,,,,,,,,,mortify,embarrass
,,,,,,,,,,,,,,authentic,genuine
,,,,,,,,,,,,,,legitimate,genuine
,,,,,,,,,,,,,,veritable,genuine
,,,,,,,,,,,,,,counterfeit,notgenuine
,,,,,,,,,,,,,,factitious,notgenuine
